EXPOSITORES CONSTRUCTENIA 2026 - UBICACIÓN STAND,,
EMPRESA,AREA EXTERIOR ,STAND N° 
SYC INGENIERIA S.R.L,,Stand (01-02-03)
INDÚSTRIA QUÍMICA WAYBOR LTDA,,Stand (04) de 3x3
CYPE PARAGUAY ,,Stand (05)
MADERERA TOSCO PIEMONTESA S.A,,Stand (6-7)
TK ELEVADORES PARAGUAY S.R.L.,,Stand (8-9)
 DOMPY  LCN,,Stand (10-11)
LUME INGENIERIA SA,AREA EXTERIOR Stand E 13,Stand 12 - 13
Nugar S.A,,Stand (14-15 -15b)
Multipoint E.A.S (SANSUNG),,Stand (16-17)
AGPAR S.A.,,Stand (19)
ALCA PARAGUAY EAS,,Stand (20-21)
"MUSA Progetti, Soc.Coop. di Ingegneria",,Stand (22)
LG ELECTRONICS PERÚ S.A SUCURSAL PARAGUAY,,Stand (23-24)
SEA TRADING COMPANY S.A - MATERASSI ,,Stands (25-26)  
SMART PY S.A. (Isolant),, Stand (27)  
PARGOS TECH S.A. ,,Stand (28-33)
GLASSTEX - MARCOS ROMAN,,Stands (29-30-34-35)
CASA CLIMATICA S.A,,Stand (31-32-36-37)
Tehmco Paraguay SA,Espacio EXTERIOR (Nº E-06 - E-7),Stands SALON INTERIOR (38-39)
INPA PARKET SRL,,Stand (40-43)
RECORD ELECTRIC SAECA,,Stands (41-42) 
PromArgentina - PABELLON ARGENTINA,,Stands (44-48) 
DECIBEL,,PABELLON ARGENTINA
Eco Aislacion SRL,,PABELLON ARGENTINA
Florio Aire,,PABELLON ARGENTINA
METALURGICA DUROLL SRL,,PABELLON ARGENTINA
ORTIZ FISCHER,,PABELLON ARGENTINA
"Ministerio de Urbanismo, Vivienda y Habitat (MUVH)",,Stands (45-49) 
IDEAL TOWER,,Stand (46) 
Cavialpa: Cámara Vial Paraguaya,,Stands (47-51) 
ABACEL S. A.,,Stand (52-53)
EMCA S. A,,Stand (54)
Ozox S.R.L.,,Stand (55)
BUILDING INNOVATION,,Stand (56)
CCVL Materiales Paraguay SA (Deckar),,Stand (57)
Kuatiapo S.A. (Casa Pro),,Stand (58)
CIALPA SA,,Stand (59)
ENERGIA ALTERNATIVA S.A,,Stand (60)
Hagihara Industries Yguazu SRL,,Stand (61)
BIM SOFT (Volare - Graphisoft) Natalie Escobar Gould - Graphisoft Archicad Paraguay,,Stand (62-63)
HS METALÚRGICA E INGENIERÍA SA,,Stand (64)
LINSU SA,,Stand (65)
SIEVEX SAS,,Stand (66)
HORMETAL PARAGUAY SA,,Stand (67-68) 
CABRAL COMUNICACIÓN VISUAL SRL,,Stand (69) 
ECOMAT S.R.L,,Stand (70) 
La Consolidada de Seguros SA,,Stand (71)
DXMAX PARAGUAY E.A.S,,Stand (72) 
Royal Seguros SA,,Stand (73)
TUBOTEC INDUSTRIAL S.A.,,Stand (74) 
Cooperativa Fernheim Ltda. (Energia 360),, Stand (75) 
CONSEJO PARAGUAYO DE CONSTRUCCION SOSTENIBLE,,Stand (76)
Kingspan MV Aceros S.A.,,Stands (77-78-79-80)
JK Pinturas SA (Duratec),,Stand (81) 
NGO SAECA,,Stands  (82-83-84-85-90) 
